x,y,theta
0.416803,0.000970739,0.00533148
1.66636,0.0149308,0.0259966
2.90572,0.0587869,0.0552975
4.11569,0.138398,0.0869119
5.27436,0.253978,0.132051
6.38588,0.424655,0.194135
7.46634,0.659099,0.250128
8.52762,0.946901,0.290475
9.57881,1.27161,0.314586
10.627,1.618,0.325753
11.6792,1.97473,0.327566
12.7418,2.32795,0.302193
13.8242,2.64955,0.261459
14.932,2.93134,0.227422
16.065,3.18493,0.209524
17.2202,3.42866,0.208144
18.3914,3.67986,0.219928
19.572,3.95161,0.240026
20.7516,4.24991,0.263195
21.912,4.57204,0.285574
23.0308,4.90865,0.305074
24.0866,5.24745,0.320803
25.0605,5.5756,0.332855
25.9571,5.87133,0.276549
26.831,6.09079,0.182779
27.7193,6.22882,0.103758
28.6371,6.30835,0.060273
29.5871,6.36052,0.0506695
30.5659,6.41557,0.0786255
31.5624,6.5142,0.143404
32.5689,6.68443,0.213976
33.5863,6.92694,0.269014
34.6196,7.22559,0.300496
35.6744,7.55749,0.308685
36.7553,7.89922,0.297602
37.8643,8.23016,0.272267
39.0008,8.53387,0.237263
40.1623,8.79836,0.19626
41.3452,9.01562,0.152015
42.5475,9.18284,0.117558
43.7618,9.31579,0.0937955
44.9805,9.42738,0.0843759
46.2008,9.53131,0.0845969
